,category,city,food_mean,food_num,food_q1,food_q2,food_q3,food_var,money,post,rate,rate_num,uuid
0,Breakfast and Brunch,taichung,7280.851063829788,47,5000.0,6000.0,8750.0,3519.770199091662,$,403,4.7,500,b9c1f06a-bbb2-4b0d-b67c-d3ce4d47037f
1,Breakfast and Brunch,taichung,7183.544303797468,79,4500.0,6000.0,8000.0,3855.9318228828574,$,407,4.8,291,13be5f91-f62e-49ed-93b9-f0989cb1f5c9
2,Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.8377895168296,$,407,4.7,166,26356125-0ada-4bdf-ab48-91943fc5982d
3,Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,403,4.6,219,2d3cdc67-16d1-44c9-877a-5e3c1cd61676
4,Breakfast and Brunch,taichung,5451.923076923077,104,3500.0,4500.0,6500.0,2841.586121586064,$,407,4.6,136,59d35bb0-a388-4e38-9c41-e7f3a0532080
5,Breakfast and Brunch,taichung,10587.209302325582,86,5000.0,6000.0,18600.0,8196.139143716953,$,407,4.8,97,988b9f3d-5ba5-411c-b101-43e6c6d1c46e
6,Breakfast and Brunch,taichung,7300.0,55,5750.0,7500.0,7500.0,2448.747360664966,$,407,4.6,33,8a6de7f1-8122-4e66-b84b-638d9223dca2
7,Breakfast and Brunch,taichung,4210.31746031746,126,3500.0,4000.0,5000.0,988.7325031124496,$,404,4.7,500,38c21f74-4db3-4b7f-93ca-1fdf48e9be80
8,Breakfast and Brunch,taichung,5005.61797752809,89,3500.0,4500.0,6500.0,2096.6725672023354,$,407,4.8,500,7fa59fc4-f0b5-42bd-b76c-5646ed5bbad6
9,Breakfast and Brunch,taichung,5394.2307692307695,52,4000.0,5000.0,6500.0,1971.7635079696922,$,403,4.8,500,e97639f3-92af-4afa-b1f8-f72619f67666
10,Breakfast and Brunch,taichung,7345.0,100,4000.0,6500.0,8500.0,4341.483041542371,$,408,4.7,500,86efb69d-9ff7-4291-bda1-052c2ebb983f
11,Breakfast and Brunch,taichung,5142.857142857143,49,3500.0,5000.0,6000.0,2055.3563671340225,$,408,4.9,400,f680543f-f64b-448f-8fc1-3aa72b29b3ee
12,Breakfast and Brunch,taichung,4387.931034482759,58,3500.0,4000.0,5000.0,1702.035048284431,$,407,4.7,401,ab68fd5c-4d06-48bf-a9d4-5de96b064a30
13,Breakfast and Brunch,taichung,6350.0,10,5625.0,6250.0,6500.0,1050.0,$,403,4.7,500,8900f1b8-7d49-47d8-984a-73a7995d91aa
14,Breakfast and Brunch,taichung,5432.4324324324325,37,3500.0,6000.0,6500.0,2209.2011585521445,$,404,4.7,183,25600326-4728-4c52-ae54-20f6b989a4a1
15,Breakfast and Brunch,taichung,7446.153846153846,104,4500.0,6500.0,8125.0,3810.7369334987375,$,408,4.7,161,df344920-a74d-49d8-a53b-aa14dd2a41a1
16,Breakfast and Brunch,taichung,15200.0,56,11750.0,14500.0,17000.0,7904.248405581828,$,408,4.7,486,fe6cff78-01a5-4201-8f58-2793707394b8
17,Breakfast and Brunch,taichung,15200.0,56,11750.0,14500.0,17000.0,7904.248405581828,$,403,4.8,500,ea70511f-eaff-4204-a896-55dcb14808ff
18,Breakfast and Brunch,taichung,5295.918367346939,98,4000.0,4500.0,6875.0,1765.365104594453,$,403,4.7,239,080f65e3-772a-4875-8b95-4a9b5600f0c6
19,Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,407,4.5,216,1b6b9f3e-3c37-4dd9-9066-4d40c2633be9
20,Breakfast and Brunch,taichung,6890.476190476191,63,5000.0,7000.0,8000.0,3309.7601834053366,$,407,4.7,227,166c9817-01f4-42bb-9bd4-fce0fcb0e578
