發生時間,發生地點,postcode,死亡受傷人數,車種,經度,緯度
108年01月01日 00時50分00秒,臺北市內湖區安康路414巷2號前0.0公尺,114,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.614618,25.066187
108年01月01日 01時00分00秒,臺北市文山區萬芳路9-1號前0.0公尺,116,死亡0;受傷2,自用-小客車;自用-小客車;租賃車-小客車;乘客-人,121.570526,24.998310999999998
108年01月01日 01時30分00秒,臺北市北投區大度路1段 / 臺北市北投區中央北路2段,112,死亡0;受傷1,普通重型-機車;普通重型-機車,121.48606399999998,25.122059
108年01月01日 01時47分00秒,臺北市中山區民生東路2段157號前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.53593000000001,25.057989000000003
108年01月01日 02時05分00秒,臺北市北投區竹子湖路前0.0公尺,112,死亡0;受傷2,普通重型-機車;乘客-人,121.53938400000001,25.171668
108年01月01日 02時20分00秒,臺北市中山區民權東路3段前0.0公尺,104,死亡0;受傷1,自用-小客車;普通重型-機車,121.537269,25.062684
108年01月01日 02時37分00秒,臺北市大安區和平東路1段 / 臺北市大安區青田街,106,死亡0;受傷2,計程車-小客車;普通重型-機車;普通重型-機車,121.531973,25.026367999999998
108年01月01日 03時56分00秒,臺北市大同區民權西路 / 臺北市大同區重慶北路3段,103,死亡0;受傷1,救護車-特種車;普通重型-機車,121.513503,25.063131
108年01月01日 04時27分00秒,臺北市文山區木柵路4段98號前0.0公尺,116,死亡0;受傷2,自用-小客車;乘客-人;乘客-人,121.576408,24.999847
108年01月01日 06時08分00秒,臺北市萬華區忠孝西路2段 / 臺北市萬華區西寧南路,108,死亡0;受傷2,行人-人;普通重型-機車,121.50755,25.048491000000002
108年01月01日 06時15分00秒,臺北市文山區恆光橋上北往南,116,死亡0;受傷2,普通重型-機車;腳踏自行車-慢車,121.567355,24.981191
108年01月01日 06時40分00秒,臺北市中山區新生北路2段前0.0公尺,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527823,25.060278
108年01月01日 06時55分00秒,臺北市士林區中山北路5段376號前0.0公尺,111,死亡0;受傷2,計程車-小客車;乘客-人;乘客-人;乘客-人,121.527483,25.090019
108年01月01日 08時15分00秒,臺北市文山區興隆路1段13號前0.0公尺,116,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.539308,25.004143
108年01月01日 08時43分00秒,臺北市萬華區興義街 / 臺北市萬華區西園路2段,108,死亡0;受傷1,普通重型-機車;自用-大貨車,121.491923,25.026699
108年01月01日 09時20分00秒,臺北市文山區景興路 / 臺北市文山區景興路,116,死亡0;受傷2,普通重型-機車;普通重型-機車,121.542818,24.996931
108年01月01日 09時26分00秒,臺北市大安區基隆路3段前0.0公尺,106,死亡0;受傷1,民營公車-大客車;大型重型2(250-550C.C.)-機車,121.547526,25.019697
108年01月01日 09時31分00秒,臺北市中山區林森北路 / 臺北市中山區錦州街,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.52556100000001,25.060305
108年01月01日 09時42分00秒,臺北市南港區南港路2段 / 臺北市南港區南港路2段,115,死亡0;受傷1,自用-小客車;普通重型-機車,121.599021,25.053825
108年01月01日 09時59分00秒,臺北市內湖區民權東路6段 / 臺北市內湖區行忠路,114,死亡0;受傷1,普通重型-機車;自用-小客車,121.581002,25.067624
108年01月01日 10時00分00秒,臺北市中正區汀州路2段 / 臺北市中正區汀州路2段,100,死亡0;受傷2,普通重型-機車;普通重型-機車;普通重型-機車,121.522278,25.023723
108年01月01日 10時10分00秒,臺北市內湖區安康路195號前0.0公尺,114,死亡0;受傷1,電動自行車-慢車;普通重型-機車,121.611597,25.066089
108年01月01日 10時27分00秒,臺北市中山區市民大道2段 / 臺北市中山區長安東路1段,104,死亡0;受傷1,計程車-小客車;普通重型-機車,121.527744,25.047036
108年01月01日 11時13分00秒,臺北市萬華區環河南路3段 / 臺北市萬華區西園路2段,108,死亡0;受傷1,自用-小客車;普通重型-機車,121.49094199999999,25.02433
108年01月01日 11時15分00秒,臺北市信義區松德路275號前0.0公尺,110,死亡0;受傷1,自用-小客車;普通重型-機車,121.574243,25.032054000000002
108年01月01日 12時20分00秒,臺北市南港區重陽路 / 臺北市南港區重陽路,115,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,121.607685,25.058338
108年01月01日 12時30分00秒,臺北市松山區敦化北路260號前0.0公尺,105,死亡0;受傷1,自用-小客車;計程車-小客車,121.55003400000001,25.060869
