location,postcode, 飲食費(含家外食物)占消費支出比率(%), 飲食費(不含家外食物)占消費支出比率(%), 家庭房地租及水費占消費支出比率(%), 家庭書報雜誌文具支出占消費支出比率(%), 家庭醫療保健支出占消費支出比率(%)
 總計,-1,23.73,15.03,2.62,0.47,6.92
 松山區,105,23.49,15.22,2.61,0.57,5.09
 信義區,110,23.71,13.69,3.21,0.4,6.61
 大安區,106,22.15,13.71,2.38,0.44,6.51
 中山區,104,21.98,13.91,2.77,0.43,7.14
 中正區,100,23.04,15.37,2.8,0.47,6.42
 大同區,103,24.55,15.04,2.16,0.45,6.39
 萬華區,108,27.1,16.75,2.89,0.42,7.27
 文山區,116,24.15,15.38,2.57,0.53,6.96
 南港區,115,24.6,16.84,2.36,0.45,7.47
 內湖區,114,23.93,14.98,2.17,0.56,8.39
 士林區,111,23.92,15.39,2.53,0.52,7.08
 北投區,112,24.39,16.12,2.96,0.39,7.54
