"","category","city","food_mean","food_num","food_q1","food_q2","food_q3","food_var","money","postcode","rate","rate_num","uuid","class"
"2552","美式美食","taipei",24721.1538461538,104,16000,28000,32000,9777.77771940933,"$$",106,4.8,465,"c180bca2-ed6b-43ea-9503-48836142b64d","high"
"2553","健康美食","taipei",20909.0909090909,11,20000,20000,22000,1564.0591394623,"$$",106,4.9,500,"24e53fdd-aec3-4fb4-9b31-e0baede91126","high"
"2554","Breakfast and Brunch","taipei",11031.5068493151,73,8000,10500,13900,5024.59367163372,"$",105,4.7,500,"1d1dd967-a533-4e65-86c7-a13b2992ea51","cp"
"2555","Breakfast and Brunch","taipei",4166.66666666667,66,3000,4000,5000,1631.44603392701,"$",105,4.8,500,"34c7b2c5-f1aa-4a59-ab7e-32fd100f09fa","cp"
"2556","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.7,161,"ce4c1321-6e99-4750-a1f7-b4528435eabb","cp"
"2557","Breakfast and Brunch","taipei",7508.57142857143,105,5000,6000,8500,3731.2097945053,"$",106,4.7,238,"84ca02ea-1c96-4d39-a239-7efb8d9e3b02","cp"
"2558","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.7,118,"9bb2ab5e-9cae-4daf-a3c0-aeaffe9bd0f7","cp"
"2559","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.7,96,"f8be1527-601a-470e-adba-e5aa2f281081","cp"
"2560","Breakfast and Brunch","taipei",8943.75,80,5375,7000,11500,4539.40645211464,"$",105,4.7,232,"30614228-5288-41d6-98c4-2f66502df378","cp"
"2561","Breakfast and Brunch","taipei",7064.24581005587,179,4500,6000,8500,3164.05366648258,"$",105,4.8,106,"4bf0ea92-b168-4255-bbfd-7a5986ede333","cp"
"2562","Breakfast and Brunch","taipei",15800,35,13000,16000,18000,4540.61040578718,"$",104,4.8,17,"60e77c3b-d515-4cdb-ad9f-c6a55fcf83b6","high"
"2563","Breakfast and Brunch","taipei",6863.63636363636,33,5500,7000,7500,1321.57348408221,"$",106,4.8,79,"89e6e5a5-ced5-49fc-9104-d842e8883a80","cp"
"2566","Breakfast and Brunch","taipei",7473.21428571429,112,4500,7500,9000,3726.01812890635,"$",104,4.8,500,"4c70663d-5037-4f04-b6a4-71ad2dba4d6c","cp"
"2567","Breakfast and Brunch","taipei",5295.45454545455,66,3500,4500,6000,3013.82832242064,"$",104,4.7,500,"a7eec240-b6d9-41c1-9d05-3da08a0e0096","cp"
"2568","Breakfast and Brunch","taipei",3966.10169491525,59,3000,3500,5000,1483.99485693882,"$",105,4.8,500,"0546aad2-729d-48dc-9274-34ea34309686","cp"
"2569","Breakfast and Brunch","taipei",5141.73228346457,127,3500,5000,6000,2041.78557585675,"$",106,4.7,500,"ff279597-5b3c-4dbc-8430-4a4a1bd79508","cp"
"2570","Breakfast and Brunch","taipei",4595.41984732824,131,4000,5000,5500,1082.67851306818,"$",110,4.7,500,"1c3848f8-1dc3-415a-b310-195ac9ebec09","cp"
"2571","Breakfast and Brunch","taipei",7630.76923076923,65,4500,7000,10000,3905.88995382115,"$",104,4.8,500,"8294d01f-4c16-42c2-acb7-ba2982d55d89","cp"
"2572","Breakfast and Brunch","taipei",8369.23076923077,26,6000,7500,8500,4175.4566061477,"$",104,4.8,500,"cad66032-7bc1-4622-9deb-13abb238d5ba","cp"
"2573","Breakfast and Brunch","taipei",10412.7906976744,86,8000,10500,14250,4087.83778951683,"$",110,4.7,500,"cbb434e6-2526-4010-86fc-c911a26501c9","cp"
"2574","Breakfast and Brunch","taipei",11167.1875,64,5500,12250,15400,5782.43716696029,"$",114,4.7,500,"5ceaea4a-b54e-415e-bd33-8f5b0c3cb493","cp"
"2575","Breakfast and Brunch","taipei",4590,50,3125,4000,6000,2122.9460662014,"$",110,4.7,225,"2569d09a-92fe-449f-912b-876d0978b1d4","cp"
"2576","Breakfast and Brunch","taipei",6250,58,4000,5000,7500,3177.57498080229,"$",100,4.7,500,"704c8ae1-f2b8-4206-8b38-baf4038528d2","cp"
"2577","Breakfast and Brunch","taipei",6220.58823529412,34,4625,5500,7375,2355.19193819611,"$",104,4.6,460,"1dc600d7-dd29-40b5-bab9-af2efa0d52a5","low"
"2578","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.8,163,"4eaa09be-5c22-45e1-a0de-102bfe32b9f6","cp"
"2579","Breakfast and Brunch","taipei",8045.45454545455,22,4125,6000,12000,4392.4239811011,"$",106,4.8,500,"a7ab087f-9ac0-490c-b308-3eff0d0f279f","cp"
"2580","Breakfast and Brunch","taipei",7437.5,32,5375,7000,10250,3030.44448060016,"$",110,4.8,500,"ad0f5850-27d7-49bd-82ef-3cddd8f73f11","cp"
"2581","Breakfast and Brunch","taipei",6705.35714285714,112,4500,5500,8000,3115.02233670375,"$",106,4.7,256,"0956ea21-57d6-4540-a73d-48d42b4de4ea","cp"
"2582","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.8,132,"74ae6646-40d8-4e7f-941d-bee70350abaa","cp"
"2583","Breakfast and Brunch","taipei",8625,24,4375,8250,12625,4632.87617648763,"$",110,4.8,500,"57563565-8dfb-4c2d-bed8-1891261d84be","cp"
"2584","Breakfast and Brunch","taipei",4153.33333333333,90,3000,4000,5000,1729.55999542594,"$",106,4.8,372,"ca4dbe42-05a3-47aa-8b64-8be931ca6067","cp"
"2585","Breakfast and Brunch","taipei",4360.68376068376,117,3000,4000,5000,1838.15018800638,"$",105,4.7,452,"23f1e443-d5c4-471d-8f5d-c56fc803a8c0","cp"
"2586","Breakfast and Brunch","taipei",10908.3333333333,12,6375,6750,12375,9294.30455828849,"$",106,4.6,500,"22f35b11-cad3-42bb-8273-c8baaabaead6","low"
"2587","Breakfast and Brunch","taipei",7592.1568627451,102,4500,6500,8500,3815.20914736521,"$",110,4.7,500,"cf6b8171-9215-459d-bffb-2e131968ab19","cp"
"2588","Breakfast and Brunch","taipei",6705.35714285714,112,4500,5500,8000,3115.02233670375,"$",110,4.7,179,"e3798329-469e-4289-82f2-3e6011aa80f6","cp"
"2589","Breakfast and Brunch","taipei",7765.82278481013,79,5000,6500,11250,3641.21575454221,"$",104,4.7,318,"a8d225d3-43ae-48e5-8b5d-844a517ed967","cp"
"2590","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.8,211,"8d117686-76af-4d6a-ac81-f1fdb1feecf2","cp"
"2591","Breakfast and Brunch","taipei",9291.66666666667,84,5000,7500,13125,5124.17724716051,"$",105,4.7,238,"963b914a-4a6c-49b6-aaeb-e69b82c582c8","cp"
"2592","Breakfast and Brunch","taipei",10630.4347826087,69,6500,9500,12000,5323.35037652548,"$$",110,4.6,500,"80142a9f-f459-495b-a495-27e8dfa0a5da","low"
"2593","Breakfast and Brunch","taipei",11167.1875,64,5500,12250,15400,5782.43716696029,"$",100,4.7,500,"89c1bf05-8614-4701-86e7-6d75922774ee","cp"
"2594","Breakfast and Brunch","taipei",4471.42857142857,84,3500,4400,6000,1522.49571338605,"$",105,4.6,465,"96b978da-60bb-423a-8ab2-2f88fc4970e7","low"
"2595","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",110,4.8,261,"7a15c0a2-76b4-4698-9cca-b317f9e73cc3","cp"
"2596","Breakfast and Brunch","taipei",8340.83333333333,120,4875,7000,13000,4246.04709962363,"$",104,4.7,500,"ca268f6b-0ffb-4b08-b149-d62f99d89162","cp"
"2597","Breakfast and Brunch","taipei",9393.44262295082,61,4500,9500,14000,5040.0972164856,"$",110,4.7,149,"54b5617a-509c-41af-b70e-251ffb5e7a43","cp"
"2598","Breakfast and Brunch","taipei",5271.42857142857,35,4000,5000,6750,1902.41522109906,"$",105,4.6,424,"5c13c064-5255-4f3c-82ee-79a36a5b9b1d","low"
"2599","Breakfast and Brunch","taipei",5858.58585858586,99,4000,5000,6500,2818.62528642148,"$",114,4.7,500,"812db94c-4a3a-48b1-a500-097f748cbf94","cp"
"2600","Breakfast and Brunch","taipei",7572.05882352941,68,6500,7500,9000,1726.76555752582,"$",110,4.8,309,"32320c14-f674-4a91-a80f-bcacb195e7c5","cp"
"2601","Breakfast and Brunch","taipei",8145.67901234568,81,5500,6000,12000,4373.94218274025,"$",105,4.7,307,"c0f4e1a3-bd29-4b33-a69e-e66187d771cf","cp"
"2602","Breakfast and Brunch","taipei",14843.75,32,9375,15750,21125,6423.14844429895,"$",104,4.7,384,"a8b09737-5ccf-49cd-9aa4-3b1fe21067fc","high"
"2603","Breakfast and Brunch","taipei",9037.03703703704,27,6000,8500,12750,3884.74205713585,"$",106,4.7,286,"e795e4a3-e941-49db-8363-f2a9235e041d","cp"
"2604","Breakfast and Brunch","taipei",11414.2857142857,42,8125,11500,13000,5437.41760434874,"$",104,4.6,117,"ed056459-1e2a-4d31-bd94-8ebe948f0756","low"
"2605","Breakfast and Brunch","taipei",8271.42857142857,7,7500,8200,8850,1001.01988807742,"$",105,4.6,59,"e480a449-7b25-4ec2-b522-d6b126fca1d4","low"
"2606","Breakfast and Brunch","taipei",10412.7906976744,86,8000,10500,14250,4087.83778951683,"$",104,4.8,220,"13c98926-48dc-4e9c-8384-916b91e3047b","cp"
"2607","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",104,4.6,64,"893214b3-2ee7-4fef-a1d3-921cd9dc3cb1","low"
"2608","Breakfast and Brunch","taipei",6636.36363636364,110,4500,5500,7875,3026.33072977003,"$",105,4.6,57,"8ee1ec22-6151-4438-9b43-2a7ef27617e0","low"
