category,city,food_mean,food_num,food_q1,food_q2,food_q3,food_var,money,postcode,rate,rate_num,uuid
Breakfast and Brunch,taichung,3804.4444444444443,45,2500.0,3800.0,4800.0,1377.591385241414,$,407,4.7,500,309cd147-589c-4b1d-b57d-e91a0ca8caa4
Breakfast and Brunch,taichung,5423.076923076923,65,3500.0,5000.0,6500.0,2322.5164886899483,$,404,4.7,500,33fa87be-08d2-4fed-bd50-af3fa082c2a2
Breakfast and Brunch,taichung,5492.1875,64,3500.0,5000.0,6500.0,2273.3032606416045,$,407,4.7,500,289814ce-892b-4d11-a68e-72301585d3d6
Breakfast and Brunch,taichung,7280.851063829788,47,5000.0,6000.0,8750.0,3519.770199091662,$,403,4.7,500,b9c1f06a-bbb2-4b0d-b67c-d3ce4d47037f
Breakfast and Brunch,taichung,7183.544303797468,79,4500.0,6000.0,8000.0,3855.9318228828574,$,407,4.8,291,13be5f91-f62e-49ed-93b9-f0989cb1f5c9
Breakfast and Brunch,taichung,5434.065934065934,91,3750.0,4500.0,6000.0,2867.215970976746,$,404,4.7,489,a268adca-7e07-4a5b-88d2-7d64d1d390bf
Breakfast and Brunch,taichung,6705.357142857143,112,4500.0,5500.0,8000.0,3115.022336703746,$,403,4.8,87,61105a35-4bf7-42bb-958d-adfddd8f0e8d
Breakfast and Brunch,taichung,10412.790697674418,86,8000.0,10500.0,14250.0,4087.8377895168296,$,407,4.7,166,26356125-0ada-4bdf-ab48-91943fc5982d
Breakfast and Brunch,taichung,6493.333333333333,60,4000.0,6500.0,7500.0,3191.7532625328186,$,403,4.6,219,2d3cdc67-16d1-44c9-877a-5e3c1cd61676
Breakfast and Brunch,taichung,5451.923076923077,104,3500.0,4500.0,6500.0,2841.586121586064,$,407,4.6,136,59d35bb0-a388-4e38-9c41-e7f3a0532080
Breakfast and Brunch,taichung,8733.333333333334,39,5800.0,7800.0,12000.0,3479.2670413894857,$,403,4.6,15,a9135dbd-f822-4195-b29f-315d026783bd
Breakfast and Brunch,taichung,10587.209302325582,86,5000.0,6000.0,18600.0,8196.139143716953,$,407,4.8,97,988b9f3d-5ba5-411c-b101-43e6c6d1c46e
Breakfast and Brunch,taichung,8922.535211267606,71,6000.0,7000.0,11000.0,4557.649418350556,$,407,4.7,109,2f02d02e-48c8-436f-bc45-95201ce05377
Breakfast and Brunch,taichung,7300.0,55,5750.0,7500.0,7500.0,2448.747360664966,$,407,4.6,33,8a6de7f1-8122-4e66-b84b-638d9223dca2
Breakfast and Brunch,taichung,5045.833333333333,48,3500.0,5000.0,6125.0,1625.1869550574447,$,407,4.7,500,b66a65c0-b1ff-48db-8506-354c15c254c0
Breakfast and Brunch,taichung,4210.31746031746,126,3500.0,4000.0,5000.0,988.7325031124496,$,404,4.7,500,38c21f74-4db3-4b7f-93ca-1fdf48e9be80
Breakfast and Brunch,taichung,5436.065573770492,61,3500.0,4500.0,5500.0,3256.822991152587,$,408,4.8,500,7aa55ffa-cbb9-472d-8aa6-e116a31dac2d
Breakfast and Brunch,taichung,3744.755244755245,143,3000.0,3500.0,4500.0,1412.812417169688,$,407,4.8,500,9162e978-5542-4341-b116-bf11715dffa3
Breakfast and Brunch,taichung,4672.131147540984,61,3000.0,4000.0,5500.0,2823.910272778149,$,403,4.8,500,8e166bc7-5556-4de7-a6c3-40975e24b4f7
Breakfast and Brunch,taichung,5005.61797752809,89,3500.0,4500.0,6500.0,2096.6725672023354,$,407,4.8,500,7fa59fc4-f0b5-42bd-b76c-5646ed5bbad6
Breakfast and Brunch,taichung,5394.2307692307695,52,4000.0,5000.0,6500.0,1971.7635079696922,$,403,4.8,500,e97639f3-92af-4afa-b1f8-f72619f67666
Breakfast and Brunch,taichung,4504.901960784314,102,3500.0,4500.0,5375.0,1353.0921342324202,$,407,4.7,500,9a8fa329-0d21-4acc-87a7-31769ba61a18
Breakfast and Brunch,taichung,6660.714285714285,56,5500.0,6500.0,8000.0,2542.6840831960967,$,407,4.7,500,974ee238-1404-4764-bfc0-d14b8c782b1d
Breakfast and Brunch,taichung,5672.588832487309,197,4500.0,5500.0,7000.0,1642.7536305970393,$,408,4.8,500,8fc53ead-eeff-4ef6-b61d-701741c47121
Breakfast and Brunch,taichung,5670.833333333333,120,3500.0,5000.0,6500.0,3020.413763966049,$,407,4.8,500,6ee90621-81bc-4b60-b599-612835d3fd6d
Breakfast and Brunch,taichung,5485.0,60,3500.0,4750.0,5600.0,3265.3649617360284,$,403,4.8,500,71196275-1ac2-4df9-ab02-f847c8b8c54b
Breakfast and Brunch,taichung,7345.0,100,4000.0,6500.0,8500.0,4341.483041542371,$,408,4.7,500,86efb69d-9ff7-4291-bda1-052c2ebb983f
