	機車/臺北市	機車/松山區	機車/信義區	機車/大安區	機車/中山區	機車/中正區	機車/大同區	機車/萬華區	機車/文山區	機車/南港區	機車/內湖區	機車/士林區	機車/北投區
105年底	952180	59688	78469	75546	79925	57978	56947	89622	95782	47936	100038	109473	100776
105年 1月底	960020	60766	79671	76586	80243	58901	57733	91147	95627	48329	100144	109827	101046
105年 2月底	960228	60759	79677	76587	80237	58870	57776	91203	95621	48344	100266	109814	101074
105年 3月底	959749	60698	79620	76471	80214	58889	57708	91131	95675	48333	100247	109697	101066
105年 4月底	959033	60656	79535	76388	80145	58705	57753	90881	95652	48354	100237	109626	101101
105年 5月底	959170	60615	79486	76384	80199	58689	57637	90892	95807	48341	100395	109556	101169
105年 6月底	958377	60493	79353	76286	80047	58978	57588	90756	95819	48254	100371	109556	100876
105年 7月底	956436	60197	79130	75979	79869	59130	57503	90411	95717	48149	100192	109390	100769
105年 8月底	954554	59988	79045	75750	79608	58567	57463	90207	95659	48125	100067	109257	100818
105年 9月底	955347	60017	78876	75750	79676	58522	57341	90175	95816	48111	100230	109833	101000
105年 10月底	955113	59974	78820	75835	79858	58426	57216	90013	95878	48082	100286	109736	100989
105年 11月底	954029	59892	78722	75622	79924	58288	57146	89840	95783	47999	100253	109623	100937
105年 12月底	952180	59688	78469	75546	79925	57978	56947	89622	95782	47936	100038	109473	100776
106年底	953645	59931	77909	74949	79624	58511	56468	88682	96385	48841	100974	109886	101485
106年 1月底	951311	59578	78312	75414	79856	57907	56867	89462	95807	47880	100027	109453	100748
106年 2月底	951300	59500	78256	75356	79876	57927	56844	89422	95883	47900	100138	109453	100745
106年 3月底	951574	59537	78247	75362	79848	57935	56910	89327	95978	47910	100081	109588	100851
106年 4月底	951630	59511	78173	75333	79805	57898	56854	89299	96052	47926	100078	109790	100911
106年 5月底	952309	59498	78225	75322	79889	57928	56939	89268	96158	47932	100256	109817	101077
106年 6月底	952264	59473	78177	75297	79837	57903	56915	89232	96166	47971	100326	109794	101173
106年 7月底	947969	59134	77747	74953	79399	57664	56536	88563	95893	47726	99985	109433	100936
106年 8月底	949147	59180	77891	75013	79536	57753	56518	88580	96023	47785	100269	109445	101154
106年 9月底	951270	59485	77983	75104	79664	58119	56550	88724	96205	47923	100513	109668	101332
106年 10月底	952155	59788	78038	75180	79700	57938	56528	88759	96335	47946	100740	109784	101419
106年 11月底	952759	59993	77998	75129	79694	57977	56544	88740	96435	47913	100848	109937	101551
106年 12月底	953645	59931	77909	74949	79624	58511	56468	88682	96385	48841	100974	109886	101485
107年底	944171	59797	77482	73774	78557	56925	54795	87035	96325	48334	101172	108787	101188
107年 1月底	953650	59859	77930	74921	79696	58132	56350	88701	96479	48896	101144	109967	101575
107年 2月底	953563	59850	77969	74916	79666	57969	56259	88707	96522	48879	101200	109969	101657
107年 3月底	953574	59731	77967	74866	79720	57950	56210	88744	96577	48861	101329	109967	101652
107年 4月底	953504	59706	78040	74846	79676	57844	56126	88696	96605	48896	101346	109966	101757
107年 5月底	953443	59701	78087	74775	79701	57778	56110	88577	96705	48902	101417	109973	101717
107年 6月底	953605	59723	78051	74926	79732	57802	55962	88522	96773	48883	101530	109978	101723
107年 7月底	952855	59968	77981	74745	79652	57675	55856	88374	96837	48834	101492	109818	101623
107年 8月底	945405	59915	77560	73940	78710	57131	55041	87300	96234	48393	101006	109037	101138
107年 9月底	945741	59900	77605	73942	78786	57106	55065	87187	96338	48379	101120	109083	101230
107年 10月底	945686	59999	77605	73966	78708	57080	54988	87139	96334	48374	101156	109044	101293
107年 11月底	944984	59844	77639	73895	78632	56985	54881	87066	96333	48355	101151	108978	101225
107年 12月底	944171	59797	77482	73774	78557	56925	54795	87035	96325	48334	101172	108787	101188
108年 (10月底)	945466	60744	76904	73348	80067	56898	54061	86575	96989	48051	101709	108598	101522
108年 1月底	944142	59789	77403	73706	78579	56880	54763	86950	96443	48284	101322	108753	101270
108年 2月底	944408	59846	77401	73743	78633	56929	54693	86868	96516	48271	101404	108730	101374
108年 3月底	944532	59788	77361	73701	78934	56951	54598	86846	96619	48218	101417	108729	101370
108年 4月底	944923	59846	77331	73667	78911	56965	54615	86827	96741	48203	101464	108859	101494
108年 5月底	945100	59827	77295	73697	78996	57031	54614	86797	96779	48147	101578	108825	101514
108年 6月底	945320	59824	77238	73633	78983	57011	54566	86893	96885	48164	101677	108883	101563
108年 7月底	944670	59996	77048	73519	78906	57200	54455	86681	96849	48134	101614	108780	101488
108年 8月底	944579	59972	77019	73475	78876	57262	54289	86706	96875	48140	101655	108759	101551
108年 9月底	944923	59965	77003	73436	79579	57015	54158	86659	96976	48089	101756	108766	101521
108年 10月底	945466	60744	76904	73348	80067	56898	54061	86575	96989	48051	101709	108598	101522
